Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,regulation of T cell proliferation (GO:0042129),48/76,2.675256336010033e-05,0.15198131244873,0,0,2.6278740329083576,27.66857103786531,CD86;IL21;CD274;CEBPB;TFRC;CD80;TNFRSF13C;CD1D;VTCN1;CD3E;SPN;IL4I1;LGALS3;HLA-DMB;CCL5;IL12B;NCKAP1L;CCL19;JAK3;HLA-DPA1;IL10;TNFSF18;PLA2G2D;ANXA1;CR1;VCAM1;RIPK3;IL15;SFTPD;LILRB1;PDCD1LG2;FOXP3;LILRB4;CCDC88B;CD40LG;PTPRC;CD6;IL23A;CD209;LEP;TNFSF4;CD28;HLA-DPB1;TNFSF8;IL6ST;TNFRSF21;HLA-DRB1;IDO1
GO_Biological_Process_2021,positive regulation of lymphocyte proliferation (GO:0050671),46/75,0.00011111933079506822,0.2104229727489275,0,0,2.430718931332504,22.13146709513236,CD86;IL21;SASH3;CD274;CD40;TFRC;CD81;CD80;IRS2;TNFRSF13C;CD1D;CD3E;TNFSF13B;HLA-DMB;CCL5;CD38;IL12B;NCKAP1L;CCL19;EPHB2;JAK3;HLA-DPA1;CD74;MEF2C;ANXA1;VCAM1;IL15;FCRL3;IL18;NFATC2;PDCD1LG2;IL2;CCDC88B;BST1;CD40LG;PTPRC;CD6;IL23A;CD209;GPR183;LEP;TNFSF4;CD28;HLA-DPB1;IL6ST;FGF10
GO_Biological_Process_2021,positive regulation of T cell activation (GO:0050870),46/75,0.00011111933079506822,0.2104229727489275,0,0,2.430718931332504,22.13146709513236,CD86;IL21;CD274;TFRC;CD81;CD80;DOCK8;SIRPG;TNFRSF13C;CD1D;NOD2;CD3E;SIRPB1;HLA-DMB;MDK;CCL5;IL12B;TNFSF11;CCR7;NCKAP1L;LGALS9;CCL19;JAK3;CCR2;HLA-DPA1;ANXA1;VCAM1;IL15;RHOH;HLA-A;PDCD1LG2;CYRIB;CCDC88B;ZAP70;CD40LG;PTPRC;CD6;IL23A;LCK;CD209;LEP;TNFSF4;CD28;HLA-DPB1;PRKCQ;IL6ST
GO_Biological_Process_2021,regulation of interferon-gamma production (GO:0032649),51/86,0.00016487946271565907,0.2341700569219148,0,0,2.2332479424429064,19.452250352137057,IL21;PTPN22;PDE4B;IL12B;CCR7;LGALS9;LGALS7;CCR2;HAVCR2;HLA-DPA1;CR1;BTN3A1;RIPK3;IL18;BTN3A2;HLA-A;PDCD1LG2;FOXP3;LGALS9C;LGALS9B;SLC7A5;IL23A;TLR8;XCL1;CD226;TLR7;GAS6;CD274;TXK;RASGRP1;IFNL1;CLEC7A;IL36RN;SLAMF6;IL12RB1;IL12RB2;PRNP;CRTAM;LAPTM5;LILRB1;INHBA;CYRIB;LILRB4;CD2;TNFSF4;HLA-DPB1;F2RL1;INHA;CD244;HLA-DRB1;IL18R1
GO_Biological_Process_2021,regulation of immune response (GO:0050776),94/179,0.0002895485298412067,0.3255200559458144,0,0,1.6971475853768618,13.82697983371854,DENND1B;CD40;CD81;ITGB2;ICAM3;CD3G;PTPN22;ICAM5;CXCL13;SLA2;CD3E;ITGAL;CD3D;HERC5;SPN;IL4I1;FCGR3A;CASP8;FCGR3B;ITGB7;B2M;CD34;CD96;LAG3;CXADR;RSAD2;ITGA4;RIPK3;SYK;IL15;SPINK5;SFTPD;HLA-B;HLA-C;HLA-A;HLA-F;FOXP3;NCR1;CD200R1;NCR3;CD8B;JAML;CD8A;IRF4;IRF1;CD226;CLEC4G;BIRC3;COL17A1;CD1D;KIR2DL1;CD1B;KIR2DL3;ADCY7;LRP8;CD1A;KIR2DL4;KLRK1;IFNL1;CD19;NCR3LG1;SLAMF7;LAIR2;SLAMF6;KLRC1;CD300LF;FCGR1A;CD300LG;CD99;LAIR1;MICB;VCAM1;CRTAM;SH2D1A;ERAP1;SH2D1B;PILRB;KIR3DL1;LILRB1;KIR3DL2;CD40LG;SELL;TREML4;TNFSF4;TREML2;HLA-DRA;KLRD1;CD247;PDCD1;CLEC2D;SIGLEC7;CD22;HLA-DRB1;ULBP3
GO_Biological_Process_2021,negative regulation of interleukin-2 production (GO:0032703),17/22,0.0003644647245521923,0.3255200559458144,0,0,5.201392934025579,41.17984807314775,PRNP;CR1;HOMER2;SFTPD;LAPTM5;TNFAIP3;FOXP3;LILRB4;ZFP36;PTPRC;NAV3;TBX21;XCL1;HOMER3;CD34;GBP1;HAVCR2
GO_Biological_Process_2021,positive regulation of T cell proliferation (GO:0042102),40/66,0.00043511313928743824,0.3255200559458144,0,0,2.35634317422481,18.23787106792556,CD86;IL21;CD274;TFRC;HHLA2;CD80;TNFRSF13C;CD1D;CD3E;HLA-DMB;CCL5;IL12B;NCKAP1L;CCL19;IL12RB1;JAK3;CCR2;HLA-DPA1;ANXA1;VCAM1;SYK;IL15;IGFBP2;IL18;IGF2;PDCD1LG2;IL2;CCDC88B;TMIGD2;CD40LG;PTPRC;CD6;IL23A;CD209;LEP;TNFSF4;CD28;HLA-DPB1;IL6ST;CD24
GO_Biological_Process_2021,extracellular matrix assembly (GO:0085029),18/24,0.0004583982481194359,0.3255200559458144,0,0,4.589665653495441,35.28430408386942,NTNG2;RAMP2;TNXB;LAMB3;LAMB2;LAMB4;NTN4;LTBP3;FBLN5;MFAP4;EFEMP2;HAS1;PXDN;HAS3;MYH11;QSOX1;GAS6;GPM6B
GO_Biological_Process_2021,positive regulation of alpha-beta T cell proliferation (GO:0046641),13/16,0.0008273129403827572,0.485756923737337,0,0,6.626967050584314,47.03375568974235,SYK;CD81;IL18;PTPN22;HLA-A;RASAL3;IL23A;TNFSF4;IL12B;XCL1;LGALS9;CD55;CCR2
GO_Biological_Process_2021,B cell receptor signaling pathway (GO:0050853),23/34,0.000855055313742892,0.485756923737337,0,0,3.1995599129042294,22.602793142579667,BLK;ITK;MEF2C;SYK;PRKCB;NFAM1;RFTN1;PIK3CD;NFATC2;CD79B;LAT2;CD79A;PTPRC;LCK;CD19;BLNK;PLCG2;BTK;CD38;CTLA4;NCKAP1L;MNDA;MS4A1
