Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	interferon-gamma-mediated signaling pathway (GO:0060333)	50/68	5.097774e-04	9.999972e-01	0	0	2.434674e+00	1.845857e+01	CIITA;IFI30;ICAM1;OASL;MT2A;TRIM25;JAK2;B2M;TRIM21;TRIM22;HLA-DPA1;JAK1;IFNGR2;HLA-B;HLA-C;HLA-A;HLA-F;MID1;HLA-E;HCK;IFNG;OAS1;IRF4;OAS2;IRF1;OAS3;IRF2;IRF8;IRF5;IRF6;HLA-DQB2;IRF9;HLA-DQB1;SP100;PTAFR;NCAM1;FCGR1A;GBP2;GBP1;HLA-DQA2;HLA-DQA1;HLA-DRB5;VCAM1;STAT1;HLA-DPB1;HLA-DRA;TRIM38;TRIM31;HLA-DRB1;TRIM34
GO_Biological_Process_2021	positive regulation of T cell activation (GO:0050870)	54/75	7.296133e-04	9.999972e-01	0	0	2.253935e+00	1.628017e+01	CD86;IL21;TFRC;CD81;CD80;DOCK8;SIRPG;TNFRSF13C;CD3E;SIRPB1;PNP;MDK;IL12B;SIRPA;TNFSF11;CCR7;LGALS9;JAK3;CCR2;HLA-DPA1;NCK1;ANXA1;IL15;RHOH;HLA-A;PDCD1LG2;ZAP70;IL23A;LCK;PRKCQ;CD47;IL6ST;ZP3;CD274;ZBTB1;CD1D;NOD2;HLA-DMB;CCL5;NCKAP1L;CCL19;CD276;VCAM1;CYRIB;CCDC88B;CD40LG;PTPRC;CD6;CD209;IL7;LEP;TNFSF4;CD28;HLA-DPB1
GO_Biological_Process_2021	positive regulation of lymphocyte proliferation (GO:0050671)	53/75	1.644648e-03	9.999972e-01	0	0	2.111216e+00	1.353338e+01	CD86;IL21;CD40;TFRC;CD81;CD80;IRS2;TNFRSF13C;CD3E;TNFSF13B;PNP;CD38;IL12B;EPHB2;JAK3;HLA-DPA1;NCK1;CHRNB2;MEF2C;ANXA1;IL15;FCRL3;IL18;PDCD1LG2;HLA-E;IL23A;IL6ST;ZP3;SASH3;CD274;CD1D;HLA-DMB;CCL5;NCKAP1L;CCL19;CD276;CD74;VCAM1;NFATC2;IL2;CCDC88B;BST1;CD40LG;PTPRC;CD6;CD209;IL7;GPR183;LEP;TNFSF4;CD28;HLA-DPB1;FGF10
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen (GO:0002483)	13/14	2.002440e-03	9.999972e-01	0	0	1.137546e+01	7.068014e+01	ERAP2;ERAP1;TAP2;TAP1;ABCB9;HLA-A;IDE;HLA-F;HLA-E;AZGP1;HLA-DRA;B2M;HLA-DRB1
GO_Biological_Process_2021	regulation of natural killer cell mediated cytotoxicity (GO:0042269)	24/30	2.321909e-03	9.999972e-01	0	0	3.501878e+00	2.124017e+01	IL21;CADM1;KLRC2;CD160;CLEC12B;CRTAM;LILRB1;HLA-F;PVR;RASGRP1;KIR2DL4;PIK3R6;HLA-E;NCR1;NCR3;KLRK1;LAMP1;LEP;SLAMF6;CD226;KLRD1;KLRC1;LGALS9;MICA
GO_Biological_Process_2021	regulation of T cell proliferation (GO:0042129)	53/76	2.629457e-03	9.999972e-01	0	0	2.019207e+00	1.199606e+01	CD86;IL21;TFRC;CD80;TNFRSF13C;CD3E;SPN;IL4I1;LGALS3;PNP;IL12B;JAK3;HLA-DPA1;NCK1;IL10;ANXA1;CR1;RIPK3;IL15;SFTPD;PDCD1LG2;FOXP3;IL23A;IL6ST;ZP3;TNFRSF21;IDO1;CD274;CEBPB;SDC4;CD1D;VTCN1;HLA-DMB;CCL5;NCKAP1L;CCL19;CD276;TNFSF18;PLA2G2D;VCAM1;LILRB1;LILRB4;CCDC88B;CD40LG;PTPRC;CD6;CD209;LEP;TNFSF4;CD28;HLA-DPB1;TNFSF8;HLA-DRB1
GO_Biological_Process_2021	regulation of interferon-gamma production (GO:0032649)	59/86	2.839125e-03	9.999972e-01	0	0	1.915048e+00	1.123034e+01	IL21;PTPN22;C1QBP;PDE4B;IL12B;SIRPA;CCR7;LGALS9;LGALS7;CCR2;HAVCR2;HLA-DPA1;CR1;BTN3A1;RIPK3;PDE4D;IL18;BTN3A2;HLA-A;PDCD1LG2;FOXP3;LGALS9C;LGALS9B;SLC7A5;IL23A;DDIT3;TLR8;XCL1;CD226;TLR7;CD47;GAS6;ZP3;TLR4;CD274;TXK;RASGRP1;IFNL1;CLEC7A;IL36RN;SLAMF6;IL12RB1;CD276;IL12RB2;PRNP;CRTAM;LAPTM5;LILRB1;INHBA;CYRIB;LILRB4;CD2;TNFSF4;HLA-DPB1;F2RL1;INHA;CD244;HLA-DRB1;IL18R1
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	114/179	3.208768e-03	9.999972e-01	0	0	1.538727e+00	8.835166e+00	CD81;SPPL2A;ICAM3;ICAM5;CXCL13;SLA2;PVR;ICAM1;HERC5;IL4I1;B2M;CD96;LAG3;CXADR;RSAD2;SPINK5;HLA-B;HLA-C;HLA-A;HLA-F;FOXP3;FOXP1;HLA-E;CD8B;JAML;CD8A;CD226;CLEC4G;COL17A1;CD1D;KIR2DL1;CD1B;KIR2DL3;CD1A;KIR2DL4;KLRK1;CD19;SLAMF7;SLAMF6;KLRC1;CD300LF;CD300LG;CD99;CD276;LYN;VCAM1;CD160;CRTAM;SH2D1A;SH2D1B;PILRB;SELL;TREML4;TNFSF4;TREML2;HLA-DRA;KLRD1;CD200;CD22;HLA-DRB1;ULBP3;DENND1B;CD40;SIGLEC9;ITGB2;CD3G;PTPN22;CD3E;ITGAL;CD3D;SPN;FCGR3A;CASP8;FCGR3B;ITGB7;CD34;ITGA4;RIPK3;SYK;IL15;SFTPD;FGR;NCR1;CD200R1;NCR3;PLSCR1;IRF4;TRAF3;IRF1;BIRC2;BIRC3;COLEC12;XIAP;SAMHD1;ADCY7;LRP8;RNF135;IFNL1;NCR3LG1;LAIR2;FCGR1A;LAIR1;MICA;MICB;ERAP1;KIR3DL1;LILRB1;KIR3DL2;CD40LG;CD247;PDCD1;CLEC2D;FCGR2C;SIGLEC7
GO_Biological_Process_2021	negative regulation of interferon-gamma production (GO:0032689)	23/29	3.530137e-03	9.999972e-01	0	0	3.355652e+00	1.894741e+01	CD274;PRNP;CR1;LAPTM5;LILRB1;INHBA;PDCD1LG2;FOXP3;LILRB4;LGALS9C;LGALS9B;C1QBP;DDIT3;TNFSF4;XCL1;IL36RN;LGALS9;GAS6;INHA;LGALS7;TLR4;HLA-DRB1;HAVCR2
GO_Biological_Process_2021	positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	32/43	3.771093e-03	9.999972e-01	0	0	2.547368e+00	1.421531e+01	IL21;ITGAM;CD1E;CD1D;CD1B;PVR;RASGRP1;CD1A;KLRK1;LAMP1;IL12B;STAP1;SLAMF6;IL12RB1;CADM1;KLRC2;CD160;CRTAM;STX7;HLA-B;HLA-A;CYRIB;HLA-F;HLA-E;AZGP1;NCR3;IL23A;HLA-DRA;XCL1;CD226;KLRD1;HLA-DRB1
GO_Biological_Process_2021	positive regulation of alpha-beta T cell proliferation (GO:0046641)	14/16	4.594487e-03	9.999972e-01	0	0	6.125164e+00	3.297114e+01	SYK;CD81;IL18;PTPN22;HLA-A;RASAL3;HLA-E;IL23A;TNFSF4;IL12B;XCL1;LGALS9;CD55;CCR2
GO_Biological_Process_2021	negative regulation of interleukin-2 production (GO:0032703)	18/22	5.457967e-03	9.999972e-01	0	0	3.938239e+00	2.052090e+01	PRNP;CR1;HOMER2;SFTPD;LAPTM5;TNFAIP3;FOXP3;LILRB4;ZFP36;PTPRC;NAV3;TBX21;XCL1;HOMER3;EZR;CD34;GBP1;HAVCR2
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	8/8	6.564319e-03	9.999972e-01	0	0	7.462400e+04	3.750682e+05	ERAP2;ERAP1;TAP2;TAP1;ABCB9;HLA-A;IDE;B2M
