query,_id,_score,symbol,notfound
113219467,113219467,27.651289,MIR12136,
100288069,100288069,27.651411,LOC100288069,
79854,79854,27.650805,LINC00115,
107985728,107985728,27.650675,LOC107985728,
84808,84808,27.651474,PERM1,
57801,57801,27.651525,HES4,
375790,375790,26.85718,AGRN,
100288175,100288175,27.651411,LOC100288175,
112267874,,,,True
401934,401934,27.650675,RNF223,
254099,254099,27.650805,LINC01342,
406984,406984,27.651525,MIR200B,
406983,406983,27.651474,MIR200A,
554210,554210,27.64896,MIR429,
100506376,100506376,27.651411,TTLL10-AS1,
254173,254173,27.651289,TTLL10,
126792,126792,26.858898,B3GALT6,
388581,388581,27.650805,C1QTNF12,
118424,118424,26.859749,UBE2J2,
6339,6339,26.338165,SCNN1D,
80772,80772,26.85718,CPTP,
54587,54587,27.651411,MXRA8,
107984868,,,,True
441869,441869,27.650675,ANKRD65,
105378585,105378585,27.650805,ANKRD65-AS1,
102724312,102724312,27.651525,LINC01770,
219293,219293,27.651474,ATAD3C,
339453,339453,27.64896,TMEM240,
8510,8510,27.651411,MMP23B,
8511,8511,8.919771,MMP23A,
163688,163688,27.650675,CALML6,
339456,339456,27.650805,TMEM52,
85452,85452,27.651525,CFAP74,
107984872,107984872,27.651474,LOC107984872,
199990,199990,27.64896,FAAP20,
105378593,105378593,27.651411,LOC105378593,
100129534,100129534,8.919771,LOC100129534,
5192,5192,26.858898,PEX10,
79258,79258,27.650805,MMEL1,
105378597,105378597,27.651525,MMEL1-AS1,
105378600,105378600,27.651474,LOC105378600,
105378598,105378598,27.64896,LOC105378598,
440556,440556,27.64896,PRDM16-DT,
27237,27237,27.64896,ARHGEF16,
105378608,105378608,27.64896,LOC105378608,
127262,127262,26.85718,TPRG1L,
388588,388588,27.651411,SMIM1,
8514,8514,26.859509,KCNAB2,
6146,6146,26.858898,RPL22,
102724450,102724450,27.650805,RNF207-AS1,
54626,54626,27.651525,HES2,
80835,80835,26.859694,TAS1R1,
107984912,107984912,27.651411,LOC107984912,
9903,9903,27.651289,KLHL21,
148479,148479,27.650805,PHF13,
90326,90326,27.650675,THAP3,
110841581,110841581,27.651525,CAMTA1-DT,
23261,23261,27.651474,CAMTA1,
105376689,105376689,27.64896,LOC105376689,
10911,10911,26.85718,UTS2,
3604,3604,26.85718,TNFRSF9,
54206,54206,26.85718,ERRFI1,
112268261,112268261,27.64896,LINC03153,
6518,6518,26.337494,SLC2A5,
102724571,102724571,27.651411,LNCTAM34A,
80176,80176,27.651289,SPSB1,
84275,84275,27.650675,SLC25A33,
107985734,,,,True
5293,5293,26.338165,PIK3CD,
644997,644997,27.650805,PIK3CD-AS1,
101929074,101929074,27.651411,PIK3CD-AS2,
56998,56998,26.337978,CTNNBIP1,
116362,116362,27.651289,RBP7,
105376725,,,,True
6723,6723,26.859694,SRM,
100873935,100873935,27.651474,MTOR-AS1,
10218,10218,26.859694,ANGPTL7,
105376737,105376737,27.650805,LOC105376737,
26232,26232,26.859509,FBXO2,
9249,9249,26.858898,DHRS3,
649324,649324,8.91981,PRAMEF34P,
645354,645354,8.91983,PRAMEF36P,
126755,126755,27.651474,LRRC38,
10630,10630,27.651474,PDPN,
23254,23254,27.650805,KAZN,
